name	Snippet	styleUrl	longitude	latitude	altitude	Type	Region
Kapaevskoye 2	Record 1626	#defaultStyleMap	103.75	58.5166666666667	0	Hydrothermal	Russia
Kharlovskoye	Record 1636	#defaultStyleMap	82.9058333333333	51.6519444444444	0	Igneous	Russia
Kolpashevskoye	Record 1643	#defaultStyleMap	82.74	57.6602777777778	0	Sedimentary	Russia
Kostamuksha	Record 1646	#defaultStyleMap	30.5	64.7166666666667	0	Sedimentary	Russia
Kovdor	Record 1647	#defaultStyleMap	30.4	67.5666666666667	0	Igneous	Russia
Lavrenovskoye	Record 1663	#defaultStyleMap	88.2666666666667	54.15	0	Hydrothermal	Russia
Lendakhskoye	Record 1669	#defaultStyleMap	93.55	59.1333333333333	0	Hydrothermal	Russia
Levoberezhnoye	Record 1671	#defaultStyleMap	98.3666666666667	58.5916666666667	0	Hydrothermal	Russia
Magnitogorsk district	Record 1675	#defaultStyleMap	59.15	53.4166666666667	0	Hydrothermal	Russia
Mikhailovsky	Record 1683	#defaultStyleMap	35.3833333333333	52.3	0	Sedimentary	Russia
Nerjundinskoye	Record 1689	#defaultStyleMap	103.8	58.8333333333333	0	Hydrothermal	Russia
Nizhne-Angarskoye	Record 1694	#defaultStyleMap	94.55	58.2666666666667	0	Sedimentary	Russia
Nizhne-Lakur-skoye 1	Record 1696	#defaultStyleMap	101.55	60.0166666666667	0	Hydrothermal	Russia
Olenegorskoye	Record 1704	#defaultStyleMap	33.0833333333333	68.2666666666667	0	Sedimentary	Russia
Organovskoye	Record 1706	#defaultStyleMap	92.4166666666667	61	0	Hydrothermal	Russia
Parabel-Chuzikskoye	Record 1711	#defaultStyleMap	80.9041666666667	58.4511111111111	0	Sedimentary	Russia
Pikhtovoye	Record 1716	#defaultStyleMap	99.1	58.5166666666667	0	Hydrothermal	Russia
Sheregesh	Record 1733	#defaultStyleMap	87.5666666666667	52.55	0	Hydrothermal	Russia
Sokolovskoe	Record 1740	#defaultStyleMap	95.9558333333333	56.4075	0	Hydrothermal	Russia
Suringdakonskoye	Record 1751	#defaultStyleMap	91.2666666666667	63.3666666666667	0	Hydrothermal	Russia
Tabratskoye	Record 1754	#defaultStyleMap	94.0916666666667	53.4833333333333	0	Hydrothermal	Russia
Tagarskoye	Record 1755	#defaultStyleMap	99.1333333333333	58.45	0	Hydrothermal	Russia
Tarynnakh	Record 1759	#defaultStyleMap	119.283333333333	58.3166666666667	0	Sedimentary	Russia
Tashtagol	Record 1761	#defaultStyleMap	87.55	52.4583333333333	0	Hydrothermal	Russia
Tayozhnoe 2	Record 1764	#defaultStyleMap	125.433333333333	57.7666666666667	0	Hydrothermal	Russia
Teiskoye	Record 1765	#defaultStyleMap	89.3416666666667	53.1666666666667	0	Hydrothermal	Russia
Timofeevskoe	Record 1766	#defaultStyleMap	84.1666666666667	51.0166666666667	0	Hydrothermal	Russia
Turukhanskoye	Record 1771	#defaultStyleMap	85.4416666666667	65.85	0	Igneous	Russia
Udorongovskoye	Record 1776	#defaultStyleMap	94.55	58.3916666666667	0	Igneous	Russia
Verkhne-Ollonokonskoye	Record 1786	#defaultStyleMap	96.1416666666667	59.5166666666667	0	Hydrothermal	Russia
Verkhny-Omolon	Record 1792	#defaultStyleMap	158.366944444444	63.3505555555556	0	Sedimentary	Russia
Rudnany	Record 1814	#defaultStyleMap	20.6833333333333	48.8833333333333	0	Hydrothermal	Slovakia
Tierga	Record 1832	#defaultStyleMap	-1.6	41.6666666666667	0	Sedimentary	Spain
Kiruna	Record 1838	#defaultStyleMap	20.1166666666667	67.5	0	Igneous	Sweden
Belozerka	Record 1860	#defaultStyleMap	34.9166666666667	47.1	0	Sedimentary	Ukraine
Kremenchug	Record 1866	#defaultStyleMap	33.6166666666667	49.1741666666667	0	Sedimentary	Ukraine
Krivoy Rog	Record 1867	#defaultStyleMap	33.4	47.9166666666667	0	Sedimentary	Ukraine
Frodingham	Record 1875	#defaultStyleMap	-0.616666666666667	53.5833333333333	0	Sedimentary	United Kingdom
Ayakkuduk	Record 1883	#defaultStyleMap	65.3	41.2	0	Igneous	Uzbekistan
Ain Ben Merouane	Record 2104	#defaultStyleMap	7.1	36.8833	0	Unclassified	Algeria
Beni Douala	Record 2105	#defaultStyleMap	4.0667	36.6333	0	Hydrothermal	Algeria
Beni Saf	Record 2106	#defaultStyleMap	-1.3833	35.2833	0	Unclassified	Algeria
Beni-Felkal	Record 2107	#defaultStyleMap	4.6667	36.5	0	Unclassified	Algeria
Bou Khadra	Record 2108	#defaultStyleMap	8.0444	35.7667	0	Sedimentary	Algeria
Ghara Djebilet	Record 2110	#defaultStyleMap	-7.3333	26.7667	0	Unclassified	Algeria
Kristel	Record 2112	#defaultStyleMap	-1.3333	34.8167	0	Unclassified	Algeria
Rouina	Record 2113	#defaultStyleMap	1.8	36.2333	0	Sedimentary	Algeria
Sidi Marouf	Record 2114	#defaultStyleMap	6.4667	36.5667	0	Sedimentary	Algeria
Temoulga	Record 2115	#defaultStyleMap	2.1667	36.5	0	Unclassified	Algeria
Timezrit	Record 2116	#defaultStyleMap	4.7667	36.5833	0	Sedimentary	Algeria
Zaccar	Record 2117	#defaultStyleMap	2.2	36.3167	0	Unclassified	Algeria
Ouenza	Record 2118	#defaultStyleMap	8.11667	35.96667	0	Sedimentary	Algeria
Tazout	Record 2119	#defaultStyleMap	-0.4667	35.8333	0	Unclassified	Algeria
Affalou	Record 2120	#defaultStyleMap	4.6667	36.5	0	Sedimentary	Algeria
Cassala-Quintungo	Record 2172	#defaultStyleMap	14.8333	-9.5	0	Sedimentary	Angola
Cassinga North	Record 2173	#defaultStyleMap	16.0333	-14.6667	0	Sedimentary	Angola
Cassinga South	Record 2174	#defaultStyleMap	16.1333	-15.2	0	Sedimentary	Angola
M'Bassa Deposit	Record 2175	#defaultStyleMap	14.38333	-9.36667	0	Igneous	Angola
Loumbou-Loumbou	Record 2177	#defaultStyleMap	2.97	12.2	0	Sedimentary	Benin
Madekali	Record 2178	#defaultStyleMap	3.55	11.7	0	Sedimentary	Benin
Les Mamelles (Kribi)	Record 2205	#defaultStyleMap	10	2.6	0	Sedimentary	Cameroon
Baharlya (Bahariya Oasis)	Record 2303	#defaultStyleMap	28.9667	28.4667	0	Sedimentary	Egypt
Ghorabi (Gebel Ghorabi)	Record 2306	#defaultStyleMap	28.5	29.03333	0	Sedimentary	Egypt
Mt. Klahoyo	Record 2252	#defaultStyleMap	-7.48	7.16	0	Sedimentary	Côte DIvoire
Aswan	Record 2300	#defaultStyleMap	32.88333	24.25	0	Sedimentary	Egypt
Aswan (Aswan East)	Record 2301	#defaultStyleMap	32.93	24.08	0	Sedimentary	Egypt
Bahariya	Record 2302	#defaultStyleMap	32.9	24.1	0	Sedimentary	Egypt
El Gedida	Record 2304	#defaultStyleMap	29.18333	28.45	0	Sedimentary	Egypt
El Harra	Record 2305	#defaultStyleMap	29.08972	28.38444	0	Sedimentary	Egypt
Nasser	Record 2307	#defaultStyleMap	29.01667	28.5	0	Sedimentary	Egypt
Bélinga (Djadi)	Record 2351	#defaultStyleMap	11	13.2333	0	Sedimentary	Gabon
Conakry	Record 2385	#defaultStyleMap	-13.71	9.5	0	Surficial	Guinea
Pierre Richaud (Mt. Nimba)	Record 2386	#defaultStyleMap	-8.4169	7.62	0	Sedimentary	Guinea
Simandou (Pic de Fon)	Record 2387	#defaultStyleMap	-8.9	8.53	0	Sedimentary	Guinea
Chadar malu	Record 2396	#defaultStyleMap	55.5	32.33333	0	Hydrothermal	Iran
Golgohar	Record 2397	#defaultStyleMap	55.58333	29.26667	0	Sedimentary	Iran
Northern An	Record 2398	#defaultStyleMap	55.76667	32.23333	0	Sedimentary	Iran
Choghart	Record 2399	#defaultStyleMap	55.33333	31.78333	0	Hydrothermal	Iran
Ikutha (Kitui district)	Record 2430	#defaultStyleMap	38.0167	-1.3667	0	Unclassified	Kenya
Bea Mountain	Record 2441	#defaultStyleMap	-11.1	7.1333	0	Sedimentary	Liberia
Bomi Hills	Record 2442	#defaultStyleMap	-10.83	6.9	0	Sedimentary	Liberia
Bong	Record 2443	#defaultStyleMap	-10.80472	6.31056	0	Sedimentary	Liberia
Nimba (Nimba Mountains, Bitohn, Gbahm, Lamco mine, Yulitohn, Tokadeh, Western area)	Record 2445	#defaultStyleMap	-8.6572	7.4394	0	Sedimentary	Liberia
Wologisi (Wologosi)	Record 2446	#defaultStyleMap	-10.5	7.5	0	Sedimentary	Liberia
Wadi Ash Shatti	Record 2451	#defaultStyleMap	14.2167	27.4333	0	Sedimentary	Libya
F'Derik (Zouerate District)	Record 2498	#defaultStyleMap	-12.71667	22.68333	0	Sedimentary	Mauritania
Guelb El Rhein (Zouerate District)	Record 2499	#defaultStyleMap	-12.3375	22.8736	0	Sedimentary	Mauritania
Tazadit (Zouerate District)	Record 2501	#defaultStyleMap	-12.66667	22.66667	0	Sedimentary	Mauritania
Mines Del Rif	Record 2523	#defaultStyleMap	-3	35.1667	0	Unclassified	Morocco
Dsc, Warri	Record 2602	#defaultStyleMap	5.7667	5.6	0	Unclassified	Nigeria
Wadi Sawawin	Record 2620	#defaultStyleMap	35.78333	27.93333	0	Hydrothermal	Saudi Arabia
Marampa	Record 2643	#defaultStyleMap	-13.3	8.7	0	Sedimentary	Sierra Leone
Beeshoek (Olynfontein farm)	Record 2832	#defaultStyleMap	23	-28.2833	0	Sedimentary	South Africa
Krokodilkraal 4261	Record 2833	#defaultStyleMap	28.1833	-25.6083	0	Unclassified	South Africa
Lilyfield (Lylyveld)	Record 2834	#defaultStyleMap	23.0333	-27.8272	0	Unclassified	South Africa
Manganore	Record 2835	#defaultStyleMap	23.1167	-28.1333	0	Unclassified	South Africa
Sishen	Record 2837	#defaultStyleMap	22.98	-27.77	0	Sedimentary	South Africa
Thabazimbi	Record 2838	#defaultStyleMap	27.36667	-24.63333	0	Sedimentary	South Africa
Gamagara	Record 2839	#defaultStyleMap	22.9667	-27.7917	0	Unclassified	South Africa
Mapochs	Record 2840	#defaultStyleMap	29.91667	-25.21667	0	Igneous	South Africa
Omnia	Record 2836	#defaultStyleMap	22.9	-28.3	0	Unclassified	South Africa
Ngwenya (Ngwenye, Bomvu Ridge, Bomwu Ridge)	Record 2938	#defaultStyleMap	31	-26.25	0	Sedimentary	Swaziland
Djerissa	Record 2967	#defaultStyleMap	8.6333	35.8336	0	Sedimentary	Tunisia
Douaria	Record 2968	#defaultStyleMap	8.6833	36.8167	0	Unclassified	Tunisia
Tamera	Record 2969	#defaultStyleMap	8.6833	36.8167	0	Sedimentary	Tunisia
Chongwe East	Record 3050	#defaultStyleMap	28.7	-15.35	0	Hydrothermal	Zambia
Pamba	Record 3051	#defaultStyleMap	27.48	-15.18	0	Sedimentary	Zambia
Shimyoka (Shimwyoka)	Record 3052	#defaultStyleMap	27.32	-15.48	0	Sedimentary	Zambia
Kampumba	Record 3053	#defaultStyleMap	28.55	-14.4	0	Sedimentary	Zambia
Buchwa (Buhwa, Doughnut, Fulano, Garrat-Diesel, Grandeux, Ironic, Norie, Vent, Whikwi)	Record 3148	#defaultStyleMap	29.88333	-20.5	0	Sedimentary	Zimbabwe
Mwanesi	Record 3149	#defaultStyleMap	30.6	-18.5	0	Sedimentary	Zimbabwe
Que Que Iron (Kwekwe District)	Record 3150	#defaultStyleMap	29.75	-19.0167	0	Sedimentary	Zimbabwe
Ripple Creek	Record 3151	#defaultStyleMap	29.7	-19.15	0	Sedimentary	Zimbabwe
Mt. Newman	Record 41	#defaultStyleMap	119.666	-23.383	0	Sedimentary	Australia
Anshan/Hongai	Record 172	#defaultStyleMap	123.3667	40.9833	0	Sedimentary	China
Caiyuan	Record 175	#defaultStyleMap	118.55	40.05	0	Sedimentary	China
Bayan Obo	Record 192	#defaultStyleMap	117.8833	41.1667	0	Igneous	China
Xishimen	Record 189	#defaultStyleMap	114.2331	36.8161	0	Metamorphic	China
Sandur area	Record 266	#defaultStyleMap	76.75	14.8	0	Sedimentary	India
Hongcheon-Jaun	Record 324	#defaultStyleMap	128.0167	37.8583	0	Igneous	Korean Peninsula
Phnom Deck	Record 86	#defaultStyleMap	105.05	13.233	0	Metamorphic	Cambodia
Jaeryeong	Record 321	#defaultStyleMap	125.6667	38.4	0	Metamorphic	Korean Peninsula
Tadong	Record 188	#defaultStyleMap	128.6444	43.8444	0	Igneous	China
Xieertala	Record 194	#defaultStyleMap	120.6333	49.2	0	Igneous	China
Geumdeogsan	Record 320	#defaultStyleMap	125.95	39.7	0	Metamorphic	Korean Peninsula
Rouessa (Zouerate District)	Record 2500	#defaultStyleMap	-12.66667	22.66667	0	Sedimentary	Mauritania
Itakpe	Record 2603	#defaultStyleMap	6.3	7.6	0	Sedimentary	Nigeria
Nanfen	Record 180	#defaultStyleMap	124	41.2278	0	Sedimentary	China
Northhampton	Record 1878	#defaultStyleMap	-1	52.1333333333333	0	Sedimentary	United Kingdom
Alegira	Record 909	#defaultStyleMap	-43.5	-20.1667	0	Sedimentary	Brazil
Odinochnoye	Record 1700	#defaultStyleMap	93.0833333333333	54.2	0	Hydrothermal	Russia
Tema	Record 2356	#defaultStyleMap	-0.0167	5.6667	0	Surficial	Ghana
Taihushi	Record 95	#defaultStyleMap	113.5667	37.8667	0	Surficial	China
Xihedi, Xiaoyi	Record 96	#defaultStyleMap	111.4861	37.3361	0	Surficial	China
Amarkantak area	Record 247	#defaultStyleMap	81.7667	22.7333	0	Surficial	India
Gangapur-Hamla/K.ar	Record 248	#defaultStyleMap	69.4	23.05	0	Surficial	India
Kolhapur area	Record 249	#defaultStyleMap	74.0833	16.4667	0	Surficial	India
Natarhat Palamau ar	Record 250	#defaultStyleMap	84.3667	23.25	0	Surficial	India
Udgiri-Dhangarwadi	Record 251	#defaultStyleMap	73.9667	16.9	0	Surficial	India
W. Kalimantan	Record 281	#defaultStyleMap	112	-1	0	Surficial	Indonesia
Mitchel Plateau	Record 18	#defaultStyleMap	125.9333	-15.2167	0	Surficial	Australia
Mount Saddleback	Record 19	#defaultStyleMap	116.1	-32.9333	0	Surficial	Australia
Weipa	Record 20	#defaultStyleMap	141.9167	-12.6667	0	Surficial	Australia
Haute Chhlong	Record 84	#defaultStyleMap	107.2	12.383	0	Surficial	Cambodia
Baiquan/Qianmuping	Record 89	#defaultStyleMap	113.5333	37.8667	0	Surficial	China
