REGION	DISCTRICT	SETTLEMENT	TYPE	LON	LAT	CORNU	NOTABLE PRODUCTS	Cat1	Cat2	PRODUCT DIVERSITY	PRODUCT	JSON	
Peninsula of the Arabs	Al-Yaman/Tihama	Zabid	metropoles	43.23337	14.21069	Cornu 7	Clay, agricultural foods, brick, fruits, millet, sorghum, scarves, carnelians, pelts, pharmceuticals, perfume, saffron, brazilwood, teak wood, ivory, pearls, silk brocade, onyx, sapphire, evony, cocnuts, camphor, sandarax resin, aloe, iron, lead, bamboo, sandalwood, glass, pepper, leather, indigo			high	foods	 { "lat": 14.21069, "lon": 43.23337, "name": "Zabid", "topType": "high", "product": "foods", "comment": "metropoles: Clay, agricultural foods, brick, fruits, millet, sorghum, scarves, carnelians, pelts, pharmceuticals, perfume, saffron, brazilwood, teak wood, ivory, pearls, silk brocade, onyx, sapphire, evony, cocnuts, camphor, sandarax resin, aloe, iron, lead, bamboo, sandalwood, glass, pepper, leather, indigo (Cornu 7)", } , 	foods, materials, other, textiles
al-Mashriq		al-Jurjaniyya	capitals	59.22638	42.44515	Cornu 17	Cattle			low	foods	 { "lat": 42.44515, "lon": 59.22638, "name": "al-Jurjaniyya", "topType": "low", "product": "foods", "comment": "capitals: Cattle (Cornu 17)", } , 	foods
al-Mashriq		al-Saghaniyan	capitals	67.88588	38.2555	Cornu 17	Brick, hunted birds, bread, meat			medium	foods	 { "lat": 38.2555, "lon": 67.88588, "name": "al-Saghaniyan", "topType": "medium", "product": "foods", "comment": "capitals: Brick, hunted birds, bread, meat (Cornu 17)", } , 	foods, materials
al-Mashriq		Amul	towns	63.51229	39.04896	Cornu 17	Grapes, grain, clothes, garlic, rice			high	foods	 { "lat": 39.04896, "lon": 63.51229, "name": "Amul", "topType": "high", "product": "foods", "comment": "towns: Grapes, grain, clothes, garlic, rice (Cornu 17)", } , 	foods, textiles
al-Mashriq		Bust	capitals	64.369167	31.583056	Cornu 17	Dates, grapes, lotus, basil			medium	foods	 { "lat": 31.583056, "lon": 64.369167, "name": "Bust", "topType": "medium", "product": "foods", "comment": "capitals: Dates, grapes, lotus, basil (Cornu 17)", } , 	foods
al-Mashriq		Darghan	towns	62.18165	40.44866	Cornu 17	Raisins			low	foods	 { "lat": 40.44866, "lon": 62.18165, "name": "Darghan", "topType": "low", "product": "foods", "comment": "towns: Raisins (Cornu 17)", } , 	foods
al-Mashriq		Darzanji	towns	67.44233	37.6087	Cornu 17	Clothing			low	textiles	 { "lat": 37.6087, "lon": 67.44233, "name": "Darzanji", "topType": "low", "product": "textiles", "comment": "towns: Clothing (Cornu 17)", } , 	textiles
al-Mashriq		Dihistan	towns	62.94496	34.69844	Cornu 17	Clay			low	materials	 { "lat": 34.69844, "lon": 62.94496, "name": "Dihistan", "topType": "low", "product": "materials", "comment": "towns: Clay (Cornu 17)", } , 	materials
al-Mashriq		Firabr	towns	63.6206	39.15302	Cornu 17	Grapes			low	foods	 { "lat": 39.15302, "lon": 63.6206, "name": "Firabr", "topType": "low", "product": "foods", "comment": "towns: Grapes (Cornu 17)", } , 	foods
al-Mashriq		Ghaznin	capitals	68.40163	33.53708	Cornu 17	Fruits, wood			low	foods	 { "lat": 33.53708, "lon": 68.40163, "name": "Ghaznin", "topType": "low", "product": "foods", "comment": "capitals: Fruits, wood (Cornu 17)", } , 	foods, materials
al-Mashriq		Harat	capitals	62.14555	34.32446	Cornu 17	Grapes, fruits, cloth, confections, stone			high	foods	 { "lat": 34.32446, "lon": 62.14555, "name": "Harat", "topType": "high", "product": "foods", "comment": "capitals: Grapes, fruits, cloth, confections, stone (Cornu 17)", } , 	foods, materials, textiles
al-Mashriq		Hulbuk	capitals	69.781944	37.909167	Cornu 17	Horses, fruits, agricultural products			medium	foods	 { "lat": 37.909167, "lon": 69.781944, "name": "Hulbuk", "topType": "medium", "product": "foods", "comment": "capitals: Horses, fruits, agricultural products (Cornu 17)", } , 	foods, other
al-Mashriq		Kabul	towns	69.16494	34.52441	Cornu 17	Myrobalan			low	foods	 { "lat": 34.52441, "lon": 69.16494, "name": "Kabul", "topType": "low", "product": "foods", "comment": "towns: Myrobalan (Cornu 17)", } , 	foods
al-Mashriq		Kif	towns	62.42921	35.20993	Cornu 17	Grapes, clay			low	foods	 { "lat": 35.20993, "lon": 62.42921, "name": "Kif", "topType": "low", "product": "foods", "comment": "towns: Grapes, clay (Cornu 17)", } , 	foods, materials
al-Mashriq		Marw	metropoles	62.12234	37.67201	Cornu 17	Silk, cotton, cattle, cheese, sesame, copper, melons, bread, dates			high	foods	 { "lat": 37.67201, "lon": 62.12234, "name": "Marw", "topType": "high", "product": "foods", "comment": "metropoles: Silk, cotton, cattle, cheese, sesame, copper, melons, bread, dates (Cornu 17)", } , 	foods, materials, textiles
al-Mashriq		Nasaf	towns	65.7945	38.84841	Cornu 17	Grapes			low	foods	 { "lat": 38.84841, "lon": 65.7945, "name": "Nasaf", "topType": "low", "product": "foods", "comment": "towns: Grapes (Cornu 17)", } , 	foods
al-Mashriq		Naysabur	capitals	58.80347	36.10252	Cornu 17	Stone, agricultural products, Turquoise, white cloth, iron, silk brocade, embroidery, clay, truffles, needles, knives, currants			high	foods	 { "lat": 36.10252, "lon": 58.80347, "name": "Naysabur", "topType": "high", "product": "foods", "comment": "capitals: Stone, agricultural products, Turquoise, white cloth, iron, silk brocade, embroidery, clay, truffles, needles, knives, currants (Cornu 17)", } , 	foods, materials, other, textiles
al-Mashriq		Samarqand	metropoles	67.02199	39.67698	Cornu 17	Silver cloth, copper pans, bottles, casks, stirrups, bits, girths, silk brocade, hazelnuts, walnuts, paper			high	foods	 { "lat": 39.67698, "lon": 67.02199, "name": "Samarqand", "topType": "high", "product": "foods", "comment": "metropoles: Silver cloth, copper pans, bottles, casks, stirrups, bits, girths, silk brocade, hazelnuts, walnuts, paper (Cornu 17)", } , 	foods, other, textiles
al-Mashriq		Siminjan	towns	68.08702	36.21079	Cornu 17	Fruits, cattle, hunting			medium	foods	 { "lat": 36.21079, "lon": 68.08702, "name": "Siminjan", "topType": "medium", "product": "foods", "comment": "towns: Fruits, cattle, hunting (Cornu 17)", } , 	foods
al-Mashriq		Sinj	towns	61.67621	37.46147	Cornu 17	Stone			low	materials	 { "lat": 37.46147, "lon": 61.67621, "name": "Sinj", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 17)", } , 	materials
al-Mashriq		Tirmidh	towns	67.31855	37.2606	Cornu 17	Brick			low	materials	 { "lat": 37.2606, "lon": 67.31855, "name": "Tirmidh", "topType": "low", "product": "materials", "comment": "towns: Brick (Cornu 17)", } , 	materials
al-Mashriq		Zaranj	capitals	61.61613	30.7594	Cornu 17	Fruits, daql date			low	foods	 { "lat": 30.7594, "lon": 61.61613, "name": "Zaranj", "topType": "low", "product": "foods", "comment": "capitals: Fruits, daql date (Cornu 17)", } , 	foods
Al-Daylam		Abaskun	towns	54.04327	37.02772	Cornu 18	Brick			low	materials	 { "lat": 37.02772, "lon": 54.04327, "name": "Abaskun", "topType": "low", "product": "materials", "comment": "towns: Brick (Cornu 18)", } , 	materials
Al-Daylam		Al-Ribat	villages	53.44663	29.12318	Cornu 18	Wood, foods			low	foods	 { "lat": 29.12318, "lon": 53.44663, "name": "Al-Ribat", "topType": "low", "product": "foods", "comment": "villages: Wood, foods (Cornu 18)", } , 	foods, materials
Al-Daylam		Astarabadh	towns	54.47005	36.7886	Cornu 18	Silk			low	textiles	 { "lat": 36.7886, "lon": 54.47005, "name": "Astarabadh", "topType": "low", "product": "textiles", "comment": "towns: Silk (Cornu 18)", } , 	textiles
Al-Daylam		Biyar	towns	55.88938	36.03626	Cornu 18	Grapes, fruit, camels, sheep, cake, clay, cloth, oil			high	foods	 { "lat": 36.03626, "lon": 55.88938, "name": "Biyar", "topType": "high", "product": "foods", "comment": "towns: Grapes, fruit, camels, sheep, cake, clay, cloth, oil (Cornu 18)", } , 	foods, materials, other, textiles
Al-Daylam		Kuhan Rudh	towns	49.00372	37.79153	Cornu 18	Stone, wood			low	materials	 { "lat": 37.79153, "lon": 49.00372, "name": "Kuhan Rudh", "topType": "low", "product": "materials", "comment": "towns: Stone, wood (Cornu 18)", } , 	materials
Al-Daylam		Samandar	towns	47.33054	42.6693	Cornu 18	Grapes, wood, reeds, fish			medium	foods	 { "lat": 42.6693, "lon": 47.33054, "name": "Samandar", "topType": "medium", "product": "foods", "comment": "towns: Grapes, wood, reeds, fish (Cornu 18)", } , 	foods, materials, other
Al-Daylam		Shahrastan	Metropoles	55.206	37.19091	Cornu 18	Fruits, olives, pomegranates, figs, watermelons, confections, eggplants, orange, fish			high	foods	 { "lat": 37.19091, "lon": 55.206, "name": "Shahrastan", "topType": "high", "product": "foods", "comment": "Metropoles: Fruits, olives, pomegranates, figs, watermelons, confections, eggplants, orange, fish (Cornu 18)", } , 	foods
Al-Rihab		Akhlat	towns	42.47598	38.92386	Cornu 18	Adobe			low	materials	 { "lat": 38.92386, "lon": 42.47598, "name": "Akhlat", "topType": "low", "product": "materials", "comment": "towns: Adobe (Cornu 18)", } , 	materials
Al-Rihab		Al-Shamakhiya	towns	48.68505	40.67871	Cornu 18	Stone, plaster, fruits			medium	foods	 { "lat": 40.67871, "lon": 48.68505, "name": "Al-Shamakhiya", "topType": "medium", "product": "foods", "comment": "towns: Stone, plaster, fruits (Cornu 18)", } , 	foods, materials
Al-Rihab		Ardabil	metropoles	48.30651	38.23604	Cornu 18	Clay, fruits			low	foods	 { "lat": 38.23604, "lon": 48.30651, "name": "Ardabil", "topType": "low", "product": "foods", "comment": "metropoles: Clay, fruits (Cornu 18)", } , 	foods, materials
